MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Temp,RainTomorrow
11.7,27.6,W,48,25,26.8,No
14.8,17.3,SSE,48,78,15.3,Yes
7.7,18.4,S,48,34,16.8,No
4.4,21.8,S,35,31,20,No
7.4,24.4,E,35,37,22.1,No
8.3,27.3,E,35,28,25.5,No
10.1,28.2,ESE,39,28,27,No
12,27.6,E,46,35,26.2,No
12.9,31.8,WSW,41,24,30,No
10.8,29.2,E,50,34,27.7,Yes
9.5,27.4,NNW,24,39,24.9,No
12.1,27.8,E,41,33,27,No
12.5,31.7,WNW,24,28,30.1,No
13.9,34.7,SSW,46,18,32.7,No
13.3,31.7,WNW,44,23,30.7,No
13.2,33.1,ENE,39,18,31.7,No
12.3,33.8,W,22,15,32.7,No
13.8,35.2,SE,48,15,34.1,No
11.3,32.3,NE,28,17,30.5,No
11.7,30.2,NE,33,22,28.8,No
12.5,29.9,NW,43,30,29.2,No
15.1,26.2,NE,31,48,24.5,No
11.5,29.3,NW,46,35,27.6,No
13,14.8,SE,30,62,13.9,No
11.6,19.6,E,33,64,17.9,No
12.8,24.9,ENE,30,44,24.2,No
15.5,22.4,NW,28,68,21.1,Yes
13.1,17.4,NNW,43,93,16.6,Yes
12.6,20.2,W,46,50,17.4,No
4.4,18.3,N,33,36,17.4,No
4.4,18.2,W,31,35,17.2,No
7.1,18.5,NW,57,30,18.2,No
4.2,18.9,WNW,50,34,18.1,No
9.6,18.8,WNW,57,42,16.5,No
3.5,21.8,NNW,22,34,21.2,No
5.3,23.3,NNW,83,26,22.5,Yes
7,14.3,WNW,63,40,13.7,No
0.4,18.9,N,22,33,17.6,No
3.2,21.4,E,26,27,20.5,No
5.9,21.8,E,35,35,20.8,No
8.1,20.5,ENE,31,48,19.5,No
6.9,18.9,ESE,39,45,17.8,No
5.6,19.5,SW,17,49,18.6,No
7.2,22.9,E,26,28,22.2,No
7.1,23.4,ESE,39,29,22.4,No
6.1,24.1,WNW,35,32,23.7,Yes
7.1,19.8,W,39,56,19.1,Yes
5.6,18,S,31,40,17.9,No
5.4,20.7,SSE,28,36,20.4,No
6.3,19.3,S,31,39,18.8,No
5.3,21,WNW,26,44,20.4,No
7.9,19.7,ESE,48,43,19.1,No
8.4,16.1,SE,35,51,15.2,No
8.1,18.7,ESE,33,65,15.6,No
2.4,20.6,E,30,34,19.8,No
5.6,18.9,SE,33,49,17.7,No
7.5,19,ENE,26,43,18.1,No
2.5,21.2,NE,28,55,17.6,No
5,20.9,WNW,22,42,20.6,No
3.8,21.7,NW,44,34,20.2,No
7.9,18.7,NW,59,51,16.6,Yes
4.3,11.3,W,57,60,8.8,No
-2.1,13.8,NNW,22,40,13.2,No
-1.8,14.8,N,28,40,13.9,No
3.8,13.8,WNW,31,54,12.4,No
2.1,17.3,W,43,38,15.9,No
0.5,17.1,NW,31,42,16.2,No
-0.9,16.7,NNW,30,42,15.4,No
0.4,19,NW,39,41,18.5,No
7.5,16.8,NW,41,53,15.4,No
8.3,17.6,WNW,43,43,16.5,No
-0.2,18.1,NW,24,44,16.9,No
0.1,21,NNW,17,36,20.7,No
1.5,20.9,NW,20,41,20.9,No
8.3,17.4,E,20,52,17.2,No
9.4,19.2,NA,24,47,18.8,No
1.3,19,NNW,30,34,18.6,No
2.2,18.6,NNW,31,44,17.8,No
-0.4,17.9,NW,33,40,17.7,Yes
4.5,16,NW,35,69,15.2,No
7.9,12.3,NW,52,78,7.3,No
4.3,14.1,NW,41,53,13.3,No
-2.7,18.1,W,52,36,16.7,No
0.3,17,WNW,31,52,16.2,No
3.8,17.4,E,24,47,16.6,No
2.4,14.7,ESE,20,43,13.8,No
1.2,14.8,SE,17,49,14.5,No
1.2,14.5,SE,17,43,13.9,No
-0.3,17.5,W,39,48,17.2,Yes
4.7,18.5,ESE,22,50,17.9,Yes
4.9,18.1,NNW,22,55,17.7,No
1.4,16.8,NW,20,50,16.3,No
2.2,17.5,NW,20,45,17.3,No
-0.1,18,NA,NA,46,17.4,No
-0.9,18.5,E,22,38,18.2,No
0.6,14,NE,17,67,13.9,No
4.6,15.7,NNE,15,67,15.5,No
9.8,14.4,ESE,20,86,13.6,Yes
10.6,15.1,SSE,41,65,13.3,No
7.8,15.1,S,31,65,14.8,No
4.4,16.7,S,22,42,16.2,No
-0.2,15.5,NE,28,42,14.5,No
4.3,14.5,E,30,70,13,No
7.4,16.3,NNE,30,65,14.5,Yes
8.6,13.7,NW,31,94,11.6,Yes
10.2,15,NW,46,65,13.7,No
7.3,16.4,NW,43,48,14.7,No
8.7,13,WNW,54,58,11.1,No
1,11.8,S,48,49,11,No
2.1,14.7,S,43,57,13.8,No
6.4,16.9,SSW,26,51,16,No
5.4,15.5,NNE,20,58,14.9,No
0.4,15.5,N,13,70,15,No
4,15.9,NNW,17,63,14.8,Yes
8.4,11.7,W,26,86,11.3,No
0.4,13.9,WNW,41,59,12.1,No
4.2,14,NW,33,44,12.5,No
0.9,12.9,NW,24,53,12.3,No
0.8,13,WNW,41,69,11.7,No
4.3,12.6,NW,46,54,11.3,No
6.3,11.8,WNW,63,48,11.5,No
3.5,14.3,NNW,35,51,12.7,No
-1.5,14.8,NW,15,41,14.5,No
1.2,16,NNW,31,38,14.6,No
0.5,15.4,W,70,68,12.9,Yes
5.3,11.7,NW,78,56,11.1,No
6.6,13.1,WNW,61,53,12.3,No
-1.6,11.5,N,31,53,11.1,No
-3.1,12,ESE,35,52,10.2,No
-0.1,14.2,W,13,55,12.6,No
-0.6,14,NW,41,59,13.6,No
3,11.1,W,35,96,8.6,Yes
2.9,9.5,NW,35,72,7.4,No
-1.3,8.8,WNW,39,68,8,No
1.8,8.7,NW,65,85,6.9,Yes
2.9,8.4,NW,59,66,7.1,No
-2.6,11.1,N,20,54,9.9,No
0.5,11,NNW,31,69,10.7,No
2.7,16.5,NNW,41,51,15.9,No
-1.7,13.6,NNW,28,46,13.3,No
-0.9,12.8,N,17,62,12.1,No
-1.8,11.5,NNW,41,55,11,No
1.3,10.6,NW,46,73,8.2,Yes
2.4,11.6,NW,35,48,10.7,No
-1.1,11,WNW,41,87,8.7,Yes
2.3,11.6,WNW,54,56,11.2,No
-2.2,11.6,S,39,33,11,No
-3.5,11.2,ESE,26,48,10.1,No
-1,12.2,ESE,30,51,10.8,No
-2.1,12.9,S,31,25,12.3,No
-2,11.3,WNW,33,50,10.9,No
-2.3,9.7,SSE,28,66,7.8,Yes
-1.6,10.7,S,59,56,9.6,No
0.8,12.2,NA,NA,49,11.2,No
-2.8,12.2,NNW,31,48,11.5,No
-2.8,14.1,WNW,48,38,12.8,No
3,9.7,W,65,82,8.6,Yes
4.4,11.5,WNW,57,56,10.5,No
2.3,12.8,WNW,35,48,11.6,No
-2,12.3,W,31,60,9.1,No
-1.9,10.9,S,50,72,7.2,Yes
4.8,14.1,S,48,48,13.6,No
-0.6,11.1,NNW,41,78,5.7,Yes
3.1,12.5,N,43,62,11.3,No
-2.9,9.6,NW,43,70,8.1,No
-3.5,7.6,NW,50,68,5.1,No
-0.3,9.3,N,39,60,8.3,No
0.1,10.4,WNW,59,63,8.6,No
2.3,12.2,WNW,44,41,10.4,No
2.1,10.7,NW,59,45,9.5,No
4.6,14.7,WNW,52,51,12,No
3.7,14.2,NNW,46,27,13.5,No
-1.3,11.6,N,30,35,10.8,No
-3.4,12.5,SSE,48,30,11.2,No
-5.3,13.1,NW,33,47,12.2,No
0,14,WNW,39,36,12.4,No
2.4,14.1,NW,46,27,13.2,No
-0.6,12.2,S,59,44,10.7,No
2.3,11.6,S,54,38,11.1,No
-3.7,14.4,NNW,22,28,14,No
-0.9,14.2,WNW,31,34,12.8,No
-1.5,17.3,NW,48,23,15.8,No
-3.3,15.1,SSW,30,23,14.4,No
-0.1,14.7,ENE,30,43,12.3,No
-0.2,16.2,E,28,45,14.6,No
0.5,16.3,NNW,39,45,15.4,Yes
6.1,17.2,NW,59,85,12.6,Yes
4.1,14.8,NW,46,34,14.3,No
0.1,16.7,WNW,28,44,14.9,No
3.2,12.1,ESE,41,51,11.1,No
5.4,11.3,ENE,35,61,10.2,No
5.8,12.4,SE,26,73,10.8,No
6.3,16.1,S,35,33,15.7,No
-0.9,16.7,NW,35,33,15.5,No
0.2,15.5,SE,31,37,15.3,No
-3.7,14.7,SSE,43,25,13.4,No
-2.7,15.2,N,30,35,14.9,No
-2.5,16.6,NW,31,20,16.3,No
-0.5,21.6,NW,48,27,21.5,No
9,25.5,NW,50,31,25.1,Yes
13.1,19.4,NNW,67,43,18.2,Yes
8.7,19.7,NW,98,33,18.5,Yes
3.9,13.2,WNW,65,33,12.2,No
0.7,14.1,ENE,20,43,13.7,No
1.1,18,NNW,39,36,17.8,No
5.1,23.3,NW,44,30,22.4,No
7.5,23.3,WNW,65,15,21.3,No
4.7,19.5,NNW,46,25,18.3,No
3.2,21.9,NW,80,50,21,Yes
7.8,16.2,NW,50,44,14.3,No
2.4,17.3,E,31,33,16.5,No
3.2,18.7,N,31,32,18.1,No
2.5,20.9,NNW,44,35,20,No
6.5,25.7,NNW,50,25,24.7,No
14.4,24.3,WNW,52,25,23,No
4.9,18.9,NW,44,32,16,No
2.3,16.8,N,41,34,16.3,No
1.4,20.6,N,46,16,19.5,No
5.6,27.6,NW,46,21,26.7,No
16.8,28.9,NNW,70,22,28.4,Yes
14.4,20.7,NNW,33,65,19.3,Yes
10.3,21.3,NNW,43,46,19.8,No
11.2,18,W,65,40,16.2,Yes
0.3,16,NW,57,45,14.6,No
0.5,17.9,N,44,33,16.6,No
0.5,20,NNW,31,22,18.8,No
4.6,22,N,41,25,21.4,No
8.2,22.4,NW,31,30,20.6,No
4.5,23.9,NW,30,27,22.3,No
6.7,26.1,SSW,70,47,23.2,Yes
11.9,21.1,NW,41,61,19.4,No
9.2,19.6,ENE,31,42,18.4,No
4.4,21,NW,28,30,19.2,No
5,24.1,NNW,52,34,21.9,No
6.7,24.7,NW,43,31,23.7,No
8.3,28.5,NW,46,30,27.4,No
11.3,27.4,NW,52,20,26.3,No
9,20.6,ENE,39,28,18.5,No
3.4,15,S,70,24,14.3,No
3.2,18,SSE,48,25,16.3,No
0.9,20.7,NNW,39,29,19.1,No
3.3,25.5,N,43,16,24.8,No
7.9,26.1,NNW,43,20,25.9,No
9,30.7,NNW,76,15,30,No
7.1,28.4,N,48,22,28.2,No
12.5,19.9,ESE,43,47,18.3,No
12.5,26.9,NW,46,39,25.9,No
12.3,30.2,NW,78,13,28.6,No
